epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4643,2.17938,4.47868,1.06475,0.75887,0.62832,0.73262,0.27008,1.93628,1.96357,0.9856,0.000658436,0.000658436,0.000658436
2,15.8611,2.23754,1.78102,1.09699,0.582,0.69027,0.63069,0.26795,2.15084,1.22769,1.08228,0.00131198,0.00131198,0.00131198
3,23.4383,2.23215,1.46769,1.15636,0.13833,0.02655,0.01097,0.00575,4.23367,6.29906,15.0925,0.00195233,0.00195233,0.00195233
4,30.9994,2.18965,1.43096,1.11337,0.61896,0.79064,0.70089,0.30114,1.95036,1.14676,1.08607,0.0019406,0.0019406,0.0019406
5,40.4177,2.20239,1.47735,1.09858,0.33853,0.29204,0.20204,0.06944,3.26666,2.19214,3.70351,0.0019208,0.0019208,0.0019208
6,47.8641,2.1398,1.30854,1.07579,0.6214,0.59292,0.64399,0.30707,1.89402,1.2318,1.15827,0.001901,0.001901,0.001901
7,57.2151,1.95307,1.23324,1.0452,0.67467,0.5873,0.67621,0.32462,1.7996,1.14361,1.05642,0.0018812,0.0018812,0.0018812
8,66.6047,1.98578,1.12422,1.00791,0.77113,0.76991,0.83244,0.36791,1.77628,1.12899,0.98468,0.0018614,0.0018614,0.0018614
9,75.9221,1.87702,1.0983,1.00244,0.60797,0.63717,0.60106,0.27443,1.95458,1.28425,1.0732,0.0018416,0.0018416,0.0018416
10,83.3899,2.03009,1.16667,1.0181,0.78145,0.73451,0.80928,0.39266,1.75744,1.02409,0.99582,0.0018218,0.0018218,0.0018218
11,92.8088,1.8713,1.09965,1.00153,0.73022,0.82301,0.85983,0.41029,1.6977,0.97675,0.97442,0.001802,0.001802,0.001802
12,102.155,1.70502,1.05494,0.94806,0.70909,0.79814,0.78725,0.3825,1.73191,1.01579,0.94968,0.0017822,0.0017822,0.0017822
13,109.645,1.82893,0.99119,1.019,0.82591,0.79772,0.88896,0.4594,1.61001,0.90026,0.94827,0.0017624,0.0017624,0.0017624
14,119.01,1.74746,0.94283,0.95352,0.79308,0.88192,0.91228,0.45115,1.54079,0.84048,0.94621,0.0017426,0.0017426,0.0017426
15,126.499,1.77306,0.97877,0.94044,0.88558,0.90265,0.94277,0.48769,1.51502,0.85013,0.92085,0.0017228,0.0017228,0.0017228
16,135.876,1.76817,0.94576,0.95452,0.85098,0.83186,0.90414,0.49922,1.49905,0.80994,0.91159,0.001703,0.001703,0.001703
17,145.22,1.72967,0.94716,0.89892,0.73869,0.75221,0.81439,0.4014,1.74839,0.98157,0.94778,0.0016832,0.0016832,0.0016832
18,152.7,1.66037,0.92154,0.93274,0.84873,0.84071,0.91552,0.52644,1.42571,0.79015,0.89498,0.0016634,0.0016634,0.0016634
19,162.059,1.61772,0.91032,0.9023,0.83982,0.87611,0.92936,0.53284,1.46502,0.80631,0.89504,0.0016436,0.0016436,0.0016436
20,171.413,1.69109,0.99064,0.91038,0.8357,0.84956,0.89794,0.45861,1.60842,0.92463,0.90782,0.0016238,0.0016238,0.0016238
21,178.985,1.68502,0.94903,0.9113,0.79217,0.88496,0.8979,0.42798,1.7724,0.92257,0.9122,0.001604,0.001604,0.001604
22,186.53,1.68262,0.94295,0.90457,0.81912,0.8817,0.91862,0.49669,1.52021,0.79135,0.87512,0.0015842,0.0015842,0.0015842
23,194.006,1.69731,0.89983,0.93381,0.85845,0.9115,0.95331,0.5134,1.4935,0.78203,0.87486,0.0015644,0.0015644,0.0015644
