epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,519.633,1.40983,0.77822,0.91609,0.85189,0.91626,0.95046,0.58991,1.2922,0.74091,0.91261,0.0011882,0.0011882,0.0011882
43,531.504,1.34614,0.77067,0.88517,0.89798,0.88496,0.9529,0.58621,1.28602,0.73061,0.92234,0.0011684,0.0011684,0.0011684
44,543.4,1.42377,0.78783,0.90922,0.86063,0.8744,0.93513,0.56203,1.29866,0.79057,0.91592,0.0011486,0.0011486,0.0011486
45,555.189,1.40522,0.77464,0.91693,0.91181,0.91495,0.94969,0.60012,1.28429,0.72515,0.90692,0.0011288,0.0011288,0.0011288
46,566.982,1.4178,0.82565,0.91421,0.88113,0.91838,0.9424,0.58103,1.38151,0.80795,0.91724,0.001109,0.001109,0.001109
47,578.715,1.39342,0.80307,0.89967,0.87523,0.90265,0.93807,0.5741,1.31443,0.76274,0.93384,0.0010892,0.0010892,0.0010892
48,590.507,1.3887,0.77226,0.90205,0.87099,0.9115,0.94471,0.57302,1.32583,0.76725,0.92201,0.0010694,0.0010694,0.0010694
49,602.364,1.33666,0.75309,0.86987,0.90323,0.90864,0.94604,0.58341,1.24013,0.73103,0.90625,0.0010496,0.0010496,0.0010496
50,614.114,1.24995,0.75098,0.88214,0.86254,0.92035,0.95148,0.5975,1.2722,0.71445,0.90336,0.0010298,0.0010298,0.0010298
51,625.836,1.32084,0.74365,0.90344,0.86339,0.88496,0.9418,0.58025,1.34162,0.73493,0.91569,0.00101,0.00101,0.00101
52,637.773,1.39914,0.78608,0.88788,0.87078,0.84956,0.91836,0.56597,1.34735,0.74771,0.89961,0.0009902,0.0009902,0.0009902
53,649.685,1.39668,0.78246,0.87183,0.89533,0.90836,0.94062,0.54378,1.33482,0.73762,0.90386,0.0009704,0.0009704,0.0009704
54,661.527,1.38941,0.73494,0.89499,0.90823,0.9115,0.95679,0.61119,1.30219,0.69642,0.90276,0.0009506,0.0009506,0.0009506
55,675.292,1.32887,0.72988,0.88618,0.90547,0.92035,0.97187,0.61343,1.28431,0.68628,0.90174,0.0009308,0.0009308,0.0009308
56,688.96,1.33953,0.71466,0.8875,0.8877,0.9469,0.97422,0.61001,1.25883,0.70406,0.89998,0.000911,0.000911,0.000911
57,700.774,1.30116,0.72087,0.87845,0.85334,0.92682,0.95808,0.60453,1.29051,0.68772,0.9301,0.0008912,0.0008912,0.0008912
58,712.522,1.33456,0.73315,0.91173,0.91742,0.88481,0.95221,0.55461,1.42434,0.70079,0.93204,0.0008714,0.0008714,0.0008714
59,724.421,1.34935,0.73197,0.88222,0.91039,0.93805,0.9604,0.59503,1.27092,0.69568,0.89407,0.0008516,0.0008516,0.0008516
60,736.226,1.26443,0.6963,0.86515,0.89655,0.92036,0.96308,0.62281,1.23954,0.66566,0.90025,0.0008318,0.0008318,0.0008318
61,749.964,1.31596,0.70157,0.86579,0.89429,0.90265,0.96437,0.6039,1.29183,0.68743,0.89798,0.000812,0.000812,0.000812
62,761.936,1.30233,0.6962,0.86565,0.9204,0.9292,0.96414,0.62535,1.30089,0.68706,0.88692,0.0007922,0.0007922,0.0007922
63,775.729,1.25663,0.69552,0.83064,0.91042,0.84956,0.94318,0.62228,1.24661,0.67358,0.88387,0.0007724,0.0007724,0.0007724
64,787.495,1.19876,0.66147,0.83892,0.86917,0.9646,0.96988,0.62028,1.24201,0.65272,0.88756,0.0007526,0.0007526,0.0007526
65,799.726,1.23598,0.66355,0.85286,0.8966,0.92035,0.96777,0.60157,1.31282,0.65865,0.89142,0.0007328,0.0007328,0.0007328
